index,Адрес обращения,Дом,Дата,текст обращения,ids,listTextAppealLem,named_labels
122,улица Строителей,23 корп. 1,2021-06-05 10:49:59.672,Во дворе установить спортивную баскетбольную площадку,10122,"['двор', 'устанавливать', 'спортивный', 'баскетбольный', 'площадка']",General improvement
123,улица Винокурова,69,2021-06-08 08:54:30.439,"Поменять покрытие детской площадки, благоустроить тротуар с торца дома №69 по ул. Винокурова.",10123,"['поменять', 'покрытие', 'детский', 'площадка', 'благоустраивать', 'тротуар', 'торец', 'дома', '№', '69', 'ул', 'винокуров']",Need for a road
124,бульвар Солнечный,20 корп. 1,2021-06-06 08:18:27.456,"Благоустройство остановок,территории,светафора.",10124,"['благоустройство', 'остановка', 'территория', 'светафора']",General improvement
125,бульвар А.Миттова,25,2021-06-11 09:23:25.582,Необходимо сделать дополнительную автостоянку около нашего дома по адресу б-р Миттова 25,10125,"['необходимо', 'сделать', 'дополнительный', 'автостоянка', 'около', 'наш', 'дом', 'адрес', 'б', '-', 'р', 'миттов', '25']",Need for a road
126,бульвар А.Миттова,25,2021-06-11 09:28:22.518,"Банкомата ВТБ рядом нету
Хотелось бы чтобы был",10126,"['банкомат', 'втб', 'рядом', 'нету', 'хотеться']",General improvement
127,улица Промышленная,10,2021-06-11 02:15:11.694,"Благоустройство детской площадки по ул.Промышленная 10, ремонт кровли",10127,"['благоустройство', 'детский', 'площадка', 'ул', 'промышленный', '10', 'ремонт', 'кровля']",General improvement
128,бульвар А.Миттова,21,2021-06-11 09:42:45.753,"Покрытие возле подъездов не из доброкачественного материала, нужно поменять - весь мусор заходит в подъезд. Образовалась канава у арки, жкх не обращает на это внимание",10128,"['покрытие', 'возле', 'подъезд', 'доброкачественный', 'материал', 'нужно', 'поменять', ' - ', 'весь', 'мусор', 'заходить', 'подъезд', 'образовываться', 'канава', 'арка', 'жкх', 'обращать', 'внимание']",General improvement
129,проспект Тракторостроителей,54,2021-06-06 15:25:40.658,Желаю творческих успехов.,10129,"['желать', 'творческий', 'успех']",General improvement
130,улица Эльменя,34,2021-06-04 22:53:51.993,построить школу в Финской долине,10130,"['построить', 'школа', 'финский', 'долина']",General improvement
131,бульвар А.Миттова,2,2021-06-12 05:34:11.862,Нет крупного тц и фск,10131,"['крупный', 'тц', 'фск']",Playground
