"id","text_appeal","adress","home","text_appeal_lem","type","lat","lng","created_at","updated_at"
"10102","Шум возле кафе ""Парковка""","проспект Тракторостроителей","5","""['шум', 'возле', 'кафе', ' \""', 'парковка']""","Parking","56.099599","47.285743","2021-10-30 11:06:19","2021-10-30 20:44:23"
"10103","Своевременно делать капремонт в домах, контроль за проведением капремонтов ","улица Комсомольская","22","""['своевременно', 'делать', 'капремонт', 'дом', 'контроль', 'проведение', 'капремонт']""","Major overhaul","56.069098","47.222927","2021-10-30 11:06:19","2021-10-30 20:44:23"
"10104","Обустроить детскую площадку. Асфальтировать дорогу во дворе.","улица Пролетарская","5","""['обустраивать', 'детский', 'площадка', 'асфальтировать', 'дорога', 'двор']""","General improvement","56.105051","47.298306","2021-10-30 11:06:19","2021-10-30 20:44:23"
"10105","Обустроить детскую площадку. Асфальтировать дорогу во дворе.","улица Пролетарская","5","""['обустраивать', 'детский', 'площадка', 'асфальтировать', 'дорога', 'двор']""","General improvement","56.105051","47.298306","2021-10-30 11:06:19","2021-10-30 20:44:23"
"10106","Сделать дорогу","улица Кадыкова","11","""['сделать', 'дорога']""","Need for a road","56.105040","47.299885","2021-10-30 11:06:19","2021-10-30 20:44:23"
"10107","1. В подъезде воняет, просьба устранить неприятный запах из подвала подъезда 4.
2. Отремонтировать дорогу во дворе дома","улица Винокурова","33","""['1', 'подъезд', 'вонять', 'просьба', 'устранять', 'неприятный', 'запах', 'подвал', 'подъезд', '4', '2', 'отремонтировать', 'дорога', 'двор', 'дом']""","Major overhaul",NULL,NULL,"2021-10-30 11:06:19","2021-10-30 20:44:23"
"10108","Хотелось бы, чтобы рядом с домом был установлен терминал ""Сбербанк""(снять и положить деньги) и ВТБ","бульвар А.Миттова","27","""['хотеться', 'рядом', 'дом', 'устанавливать', 'терминал', ' \""', 'сбербанк', '\""(', 'снимать', 'полагать', 'деньги', ') ', 'втб']""","General improvement","56.112516","47.191097","2021-10-30 11:06:19","2021-10-30 20:44:23"
"10109","Снижение цен на потребительские товары и проезд по городу. Льготы на лекарства, медицинское обслуживание","проспект Тракторостроителей","67","""['снижение', 'цена', 'потребительский', 'товар', 'проезд', 'город', 'льгота', 'лекарство', 'медицинский', 'обслуживание']""","General improvement","56.107261","47.316163","2021-10-30 11:06:19","2021-10-30 20:44:23"
"10110","дорги по аллее, вокруг дома","улица Композитора Максимова","2","""['дорги', 'аллея', 'вокруг', 'дом']""","Need for a road","56.124438","47.197198","2021-10-30 11:06:19","2021-10-30 20:44:23"
"10111","Дорога плохая возле дома, требует ремонта. Освещение по аллее ","бульвар Юности","19","""['дорога', 'плохой', 'возле', 'дом', 'требовать', 'ремонт', 'освещение', 'аллея']""","Need for a road","56.138628","47.158062","2021-10-30 11:06:19","2021-10-30 20:44:23"
"10112","Благоустройство 10-й Пятилетки. Установите дорожный знак ""Остановка запрещена"" на повороте с ул. 10-й Пятилетки к магазину ""Синешубашкар""","улица 10 Пятилетки","46","""['благоустройство', '10', '-', 'й', 'пятилетка', 'устанавливать', 'дорожный', 'знак', ' \""', 'остановка', 'запрещать', '\"" ', 'поворот', 'ул', '10', '-', 'й', 'пятилетка', 'магазин', ' \""', 'синешубашкар']""","General improvement",NULL,NULL,"2021-10-30 11:06:19","2021-10-30 20:44:23"
"10113","убрать строительный мусор у д 37 по пр.мира , обгородить двор, построить детскую площадку ","проспект Мира","37","""['убирать', 'строительный', 'мусор', 'д', '37', 'пр', 'мир', ' , ', 'обгораживать', 'двор', 'построить', 'детский', 'площадка']""","Need for a road","56.104927","47.263582","2021-10-30 11:06:19","2021-10-30 20:44:23"
